Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1970,ASNOVA CO LTD,9223.T,2.98,0.174,,
1971,Anabuki Kosan Inc.,8928.T,2.37,0.14,0.213,Yes
1972,"Yokorei Co.,Ltd.",2874.T,3.54,0.211,0.254,Yes
1973,"Car Mate Mfg. Co., Ltd.",7297.T,1.51,0.091,0.004,Yes
1974,Tomen Devices Corporation,2737.T,4.36,0.261,0.439,Yes
1975,"UCHIYAMA HOLDINGS Co.,Ltd.",6059.T,2.55,0.154,0.373,Yes
1976,"Ringer Hut Co.,Ltd.",8200.T,1.6,0.098,0.107,Yes
1977,Kurashicom Inc.,7110.T,6.28,0.378,,
1978,"Colowide Co.,Ltd.",7616.T,3.16,0.193,0.019,No
1979,INSTITUTE FOR Q-SHU PIONEERS OF,5595.T,17.96,1.04,,
1980,"Ebrains, Inc.",6599.T,2.72,0.17,0.341,Yes
1981,"Kumiai Chemical Industry Co., Ltd.",4996.T,4.52,0.285,0.179,Yes
1982,"Mobile Factory, Inc.",3912.T,4.61,0.291,0.75,Yes
1983,"Pacific Net Co.,Ltd.",3021.T,5.87,0.369,1.109,Yes
1984,"YUKE'S Co.,Ltd.",4334.T,9.47,0.588,0.237,Yes
1985,"MEDIA DO Co., Ltd.",3678.T,5.64,0.356,0.966,Yes
1986,COLUMBIA WORKS INC,146A.T,3.74,0.239,,
1987,"NIFTY Lifestyle Co., Ltd.",4262.T,4.76,0.303,0.537,Yes
1988,"JK Holdings Co., Ltd.",9896.T,2.67,0.172,0.108,Yes
1989,"Howtelevision, Inc.",7064.T,8.8,0.553,0.242,No
1990,MEC Company Ltd.,4971.T,6.27,0.399,1.807,Yes
1991,"Future Innovation Group, Inc.",4392.T,4.33,0.28,0.154,Yes
1992,Nisshinbo Holdings Inc.,3105.T,2.95,0.192,0.502,Yes
1993,Fisco Ltd.,3807.T,9.24,0.587,0.764,Yes
1994,"Create SD Holdings Co., Ltd.",3148.T,2.17,0.143,0.114,Yes
1995,"eSOL Co.,Ltd.",4420.T,7.72,0.498,1.26,Yes
1996,SpiderPlus & Co.,4192.T,10.4,0.664,1.567,Yes
1997,"Money Forward, Inc.",3994.T,7.68,0.497,2.108,Yes
1998,HMCOMM INC,265A.T,12.53,0.798,,
1999,"CNS Co.,Ltd",4076.T,4.32,0.285,0.412,Yes
2000,Hirata Corporation,6258.T,5.15,0.339,1.279,Yes
2001,"Workman Co.,Ltd.",7564.T,5.0,0.33,0.528,Yes
2002,"I-ne CO., LTD.",4933.T,5.65,0.373,0.07,No
2003,"Taiho Kogyo Co., Ltd.",6470.T,4.32,0.288,1.238,Yes
2004,"Medius Holdings Co., Ltd.",3154.T,4.09,0.274,0.658,Yes
2005,"THE WHY HOW DO COMPANY, Inc.",3823.T,11.84,0.767,0.827,No
2006,Nippon Telegraph and Telephone Corporation,9432.T,2.17,0.147,0.158,Yes
2007,OUTLOOKCONSULTING CO LTD,5596.T,8.9,0.59,,
2008,Accrete Inc.,4395.T,10.43,0.687,0.47,No
2009,"Aida Engineering, Ltd.",6118.T,2.6,0.179,0.434,Yes
2010,Ohara Inc.,5218.T,4.07,0.279,1.013,Yes
2011,Softcreate Holdings Corp.,3371.T,4.01,0.279,1.026,Yes
2012,Aval Data Corporation,6918.T,7.22,0.495,0.941,Yes
2013,JDC Corporation,1887.T,2.67,0.188,0.142,No
2014,"Kura Sushi,Inc.",2695.T,4.24,0.297,0.147,Yes
2015,"Hosoya Pyro-Engineering Co., Ltd.",4274.T,3.41,0.241,0.261,No
