Date,ANDR.PR,ATOMT.PR,ATS.PR,CEZ.PR,COLOS.PR,CPI.PR,CTPNV.PR,CZ0000001367.PR,CZ0003533069.PR,CZ0003534596.PR,CZ0003539892.PR,CZ0003546871.PR,CZ0003550378.PR,CZ0003550709.PR,CZ0003550808.PR,CZ0003556177.PR,CZ0003556441.PR,CZ0003558579.PR,CZ0003561441.PR,CZ0003561748.PR,CZ0003562555.PR,CZ0003565723.PR,CZ0003566234.PR,CZ0003566770.PR,CZ0003567679.PR,CZ0003569089.PR,CZ0003571051.PR,CZ0003704413.PR,CZ0003706517.PR,CZ0003707671.PR,CZG.PR,DBK.PR,DSPW.PR,DTE.PR,EFORU.PR,EMAN.PR,ENRGA.PR,EOAN.PR,ERBAG.PR,FACC.PR,FILL.PR,FIXED.PR,FPXAA.PR,FTSHP.PR,GEN.PR,GEV.PR,HWIO.PR,JTINA.PR,JTINB.PR,JTINV.PR,KARIN.PR,KGH.PR,KOFOL.PR,KOMB.PR,MMCTE.PR,MOL.PR,MONET.PR,NOKIA.PR,OMV.PR,PEN.PR,PINK.PR,PKN.PR,PKO.PR,PRIUA.PR,PVT.PR,RBI.PR,RWE.PR,SABFG.PR,SHELL.PR,SKAB.PR,TABAK.PR,TMR.PR,TOMA.PR,UQA.PR,VIG.PR,VOE.PR,VOW.PR,WIE.PR,WPS.PR
2023-03-31,1370.1497802734375,31.0,636.6500244140625,850.2963256835938,190.0,,266.51214599609375,,,,,,,,,,,,,,,,,,,,,,,,527.1966552734375,221.74986267089844,,517.5084228515625,114.79559326171875,85.0,2300.186767578125,266.69769287109375,715.2366943359375,162.60000610351562,200.0,206.0,,,378.251953125,222.0,15.0,,,,175.0,618.77783203125,212.29063415527344,545.795654296875,,-32.34767150878906,65.50630950927734,103.47460174560547,970.5096435546875,58.79999923706055,613.5416870117188,286.4326477050781,128.0751953125,448.0,1.0800000429153442,337.7000732421875,890.6732788085938,809.9066162109375,,323.2240295410156,13952.806640625,510.0,1277.724609375,177.29843139648438,579.6979370117188,804.9068603515625,2933.57177734375,607.5220947265625,
2023-04-28,1435.4188232421875,31.0,644.6456298828125,927.9637451171875,189.0,,264.6576843261719,,,,,,,,,,,,,,,,,,,,,,,,527.1966552734375,231.4258575439453,,516.08837890625,124.42879486083984,85.0,2300.186767578125,281.6969299316406,770.9591064453125,162.60000610351562,200.0,206.0,,,383.7410583496094,240.0,15.800000190734863,,,,177.0,618.77783203125,218.5083465576172,569.724609375,,-39.03285598754883,65.00242614746094,91.7415771484375,994.2000732421875,64.0,493.8020935058594,320.14208984375,162.5740509033203,540.0,1.899999976158142,325.6783752441406,996.6131591796875,854.2298583984375,631.2136840820312,336.69976806640625,13984.48046875,500.0,1277.724609375,183.7619171142578,618.5435791015625,704.8168334960938,2877.575927734375,642.0380859375,
2023-05-31,1192.7777099609375,31.0,699.6154174804688,807.822021484375,260.0,,271.0296936035156,,,,,,,,,,,,,,,,,,,,,,,,538.9725341796875,228.7423858642578,,496.8648681640625,145.30072021484375,86.0,2689.734375,267.5734558105469,720.3078002929688,157.60000610351562,200.0,200.0,,,374.39501953125,238.0,16.0,,,,172.0,568.837890625,215.84359741210938,547.3825073242188,,-36.66069412231445,65.74957275390625,90.72443389892578,1007.3392944335938,69.80000305175781,455.0,309.912353515625,162.5740509033203,625.0,1.2000000476837158,331.2421569824219,933.6708374023438,900.978759765625,,289.2922668457031,15574.955078125,500.0,1277.724609375,193.40744018554688,578.9385986328125,704.8168334960938,2811.56787109375,633.3514404296875,
2023-06-30,1192.7777099609375,31.0,769.576904296875,849.4873046875,220.0,,271.9908142089844,,,,,,,,,,,,,,,,,,,,,,,,529.558837890625,225.74575805664062,,470.3514404296875,,84.0,2795.78125,276.2596130371094,753.3302001953125,145.0,200.0,191.0,,,399.354736328125,234.0,12.5,,,,180.0,591.917724609375,218.5083465576172,549.864990234375,,-37.30764389038086,66.2476806640625,88.75000762939453,905.2778930664062,67.19999694824219,400.0,337.67877197265625,162.5740509033203,715.0,1.600000023841858,339.8858337402344,941.6509399414062,900.978759765625,,290.35870361328125,15427.3251953125,505.0,1287.478271484375,173.81393432617188,559.9733276367188,749.6778564453125,2932.2060546875,640.5441284179688,
2023-07-31,1151.92236328125,31.0,815.0,907.5355834960938,220.0,,285.6383972167969,,,,,,,,,,,,,,,,,,,,,,,,538.1618041992188,249.71875,,473.3473205566406,145.30072021484375,87.0,2795.78125,274.1629638671875,829.7506713867188,145.8000030517578,200.0,176.0,,,416.3273010253906,234.0,11.5,,,,190.0,663.5758666992188,226.5025634765625,589.5843505859375,,37.05262756347656,70.97965240478516,87.2441635131836,967.16015625,63.0,467.0,374.0187072753906,214.10025024414062,720.0,1.6100000143051147,351.6094970703125,978.2596435546875,900.978759765625,648.451416015625,328.6531066894531,15630.31640625,520.0,1297.2318115234375,177.4038848876953,583.929443359375,700.6316528320312,2933.70166015625,694.2890625,
2023-08-31,1171.851806640625,32.599998474121094,769.0,891.961669921875,220.0,,311.08935546875,,,,,,,,,,,,,,,,,,,,,,,,536.25,246.72213745117188,,468.35418701171875,,87.0,2795.78125,273.064697265625,803.11328125,157.1999969482422,200.0,194.0,,,454.8915100097656,240.0,12.5,,,,178.0,575.8961791992188,239.8262481689453,574.6895751953125,220.0,36.84210205078125,68.73819732666016,86.685546875,1028.0443115234375,55.5,425.0,340.8323974609375,196.4313201904297,800.0,1.600000023841858,319.9159240722656,927.6857299804688,900.978759765625,,313.6261901855469,16054.7529296875,620.0,1355.7535400390625,179.29859924316406,604.8909912109375,660.6754760742188,2769.19482421875,621.1639404296875,
2023-09-29,1168.8624267578125,50.0,676.0,924.9972534179688,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,532.4264526367188,253.31471252441406,,481.9853820800781,160.22018432617188,82.0,2506.5625,278.0068359375,798.125,147.0,180.0,190.0,,,424.4322509765625,238.0,12.5,,,,174.0,583.8670043945312,250.2922821044922,556.0711059570312,220.0,35.15789031982422,69.568359375,86.78529357910156,1111.3857421875,53.70000076293945,417.0,310.3868103027344,181.4768829345703,900.0,1.600000023841858,334.42144775390625,864.7427978515625,900.978759765625,,360.1611328125,15833.3076171875,610.0,1365.5072021484375,185.97991943359375,633.8379516601562,633.90478515625,2700.401123046875,594.99072265625,
2023-10-31,1044.801513671875,66.0,573.0,937.7395629882812,160.0,,326.20220947265625,,,,,,,,,,,,,,,,,,,,,,,,531.4705810546875,252.51560974121094,,500.7095642089844,159.3541259765625,77.0,2410.15625,277.7073059082031,825.1614379882812,138.39999389648438,190.0,169.0,,,394.47235107421875,242.0,11.5,,,,165.0,614.1564331054688,251.2262420654297,562.6909790039062,220.0,36.42104721069336,74.46636962890625,79.72350311279297,973.1487426757812,50.5,218.0,363.27117919921875,222.09571838378906,890.0,1.600000023841858,332.2356872558594,876.2141723632812,900.978759765625,,342.61358642578125,14744.537109375,615.0,1316.7391357421875,182.1905059814453,615.870849609375,586.1571655273438,2477.569580078125,568.6177368164062,25.600000381469727
2023-11-30,1194.2724609375,60.0,608.0,932.5482788085938,160.0,,353.2875671386719,,,,,,,,,,,,,,,,,,,,,,,,501.8382568359375,275.8892822265625,,531.9664916992188,,70.0,2410.15625,291.03607177734375,895.895263671875,141.60000610351562,190.0,185.0,,,480.4957275390625,250.0,11.0,,,,169.0,656.601318359375,257.76373291015625,572.2070922851562,214.0,35.78947067260742,72.47396087646484,78.83535766601562,964.1658325195312,48.400001525878906,256.0,329.1681823730469,263.8497009277344,860.0,1.600000023841858,368.46240234375,951.6260375976562,921.7510375976562,740.5,338.347900390625,14486.1845703125,560.0,1326.49267578125,186.77767944335938,634.8361206054688,627.3120727539062,2527.419921875,630.9539184570312,
2023-12-29,1331.287353515625,44.0,638.0,904.7039794921875,162.0,,376.840087890625,,,,,,,,,,,,,,,,,,,,,,,,507.57354736328125,302.65911865234375,,538.9568481445312,155.88990783691406,68.5,2468.0,309.5066223144531,899.9856567382812,142.0,100.0,188.0,,,509.4653015136719,282.0,11.0,,,,180.0,707.4157104492188,257.76373291015625,599.5142211914062,224.0,36.84210205078125,77.70403289794922,73.2669906616211,981.3331909179688,45.900001525878906,246.0,376.8135681152344,284.1838073730469,885.0,1.7999999523162842,458.6614990234375,1002.299560546875,921.7510375976562,730.0,376.93310546875,14412.3701171875,595.0,1316.7391357421875,181.0935821533203,648.8104858398438,705.2266235351562,2751.747314453125,746.635498046875,
