Date,ALVO.IC,AMRQ.IC,ARION.IC,BRIM.IC,EIK.IC,EIM.IC,FESTI.IC,HAGA.IC,HAMP.IC,HEIMAR.IC,ICEAIR.IC,ICESEA.IC,ISB.IC,ISF.IC,JBTM.IC,KALD.IC,KVIKA.IC,NOVA.IC,OCS.IC,OLGERD.IC,PLAY.IC,REITIR.IC,SIMINN.IC,SJOVA.IC,SKAGI.IC,SKEL.IC,SVN.IC,SYN.IC,^XIPI
2023-06-30,1115.0,77.0,120.00689697265625,77.27252197265625,10.74838638305664,484.78607177734375,168.43499755859375,64.01573944091797,127.67383575439453,23.51884651184082,2.0299999713897705,6.0,101.75194549560547,,,14.399999618530273,13.12325668334961,4.234158992767334,,12.149999618530273,12.0,73.07649230957031,9.768038749694824,29.852737426757812,,10.913985252380371,116.27747344970703,45.20000076293945,
2023-07-31,1325.0,79.5999984741211,130.08047485351562,78.03571319580078,11.804032325744629,486.615478515625,188.135009765625,65.47064208984375,144.36962890625,24.704669952392578,2.0399999618530273,6.699999809265137,104.87590789794922,,,14.300000190734863,12.969767570495605,4.263631343841553,,13.0,14.5,81.91253662109375,9.768038749694824,31.461565017700195,,12.613704681396484,112.33586120605469,45.599998474121094,
2023-08-31,1315.0,92.5999984741211,123.5107421875,75.55535888671875,11.708064079284668,486.615478515625,186.16500854492188,66.44058227539062,140.4412078857422,24.111759185791016,1.8700000047683716,5.650000095367432,104.87590789794922,,,16.100000381469727,12.931395530700684,4.126094341278076,,12.949999809265137,12.399999618530273,78.8079833984375,9.768038749694824,30.835908889770508,,11.89803409576416,110.85775756835938,45.0,
2023-09-29,1285.0,99.0,120.88285827636719,70.21305084228516,11.372177124023438,448.1984558105469,178.28500366210938,64.98567962646484,136.75830078125,23.024751663208008,1.4500000476837158,5.75,99.52054595947266,,,16.399999618530273,11.434883117675781,3.9492619037628174,,12.300000190734863,8.800000190734863,75.2258071899414,8.994332313537598,28.958942413330078,,11.629656791687012,105.93074798583984,45.29999923706055,
2023-10-31,1225.0,103.0,112.12322998046875,65.25234985351562,10.844354629516602,429.9046325683594,181.24000549316406,66.1980972290039,124.72750854492188,22.135385513305664,1.3700000047683716,6.25,91.93377685546875,,,15.899999618530273,10.667441368103027,3.8510215282440186,,12.600000381469727,8.399999618530273,73.55412292480469,8.510766983032227,30.031492233276367,,10.377232551574707,94.59861755371094,44.20000076293945,
2023-11-30,1350.0,107.0,118.25497436523438,74.21978759765625,11.036290168762207,413.440185546875,175.3300018310547,64.5007095336914,122.76329040527344,22.530658721923828,1.2699999809265137,5.599999904632568,95.0577392578125,,,16.360000610351562,11.127906799316406,3.831373691558838,,13.050000190734863,7.449999809265137,76.89749145507812,8.607479095458984,30.835908889770508,,10.8245267868042,97.35774993896484,42.599998474121094,
2023-12-29,1585.0,120.0,133.14633178710938,79.75287628173828,11.228225708007812,442.71026611328125,201.9250030517578,77.59484100341797,137.49488830566406,23.71648406982422,1.3350000381469727,5.699999809265137,99.07426452636719,154.2808380126953,,17.540000915527344,13.315116882324219,3.9394381046295166,,15.25,7.800000190734863,80.7184829711914,9.622968673706055,35.75177764892578,,13.955588340759277,102.4818344116211,47.5,
2024-01-31,2180.0,131.0,135.33624267578125,79.75287628173828,12.187902450561523,422.58709716796875,199.9550018310547,80.50464630126953,148.29806518554688,26.681045532226562,1.4800000190734863,5.5,103.98334503173828,151.38807678222656,,18.469999313354492,13.391860961914062,4.263631343841553,,17.350000381469727,7.699999809265137,86.92759704589844,10.34831714630127,39.86323165893555,,16.3709774017334,101.9891357421875,48.0,
2024-02-29,2170.0,139.0,134.4602813720703,75.93694305419922,10.556451797485352,352.1559143066406,195.02999877929688,73.71509552001953,142.40542602539062,24.90230941772461,1.1699999570846558,5.75,95.0577392578125,148.88099670410156,,17.260000228881836,11.89534854888916,4.086798191070557,,17.649999618530273,4.400000095367432,78.33036041259766,10.154891014099121,39.237579345703125,,15.565847396850586,93.21905517578125,44.0,
2024-03-28,1750.0,135.0,131.0215301513672,75.35469818115234,10.364516258239746,349.9121398925781,188.5,71.04777526855469,140.54019165039062,22.72829818725586,1.065000057220459,5.849999904632568,96.64292907714844,150.423828125,,16.700000762939453,11.166279792785645,3.9296138286590576,,17.700000762939453,4.599999904632568,78.84486389160156,9.959568977355957,37.00669479370117,,14.828571319580078,91.74095153808594,41.599998474121094,
